General_Description,Ask_Support,Gaming,Energy,Online_Content,Cosmetics,Tech_Education,Riding,Hardware,Music,Drinking,Smartwatches,Sleeping,Cleaning
0.0,0.0,0.1086636483669281,0.0,0.0,0.039298150688409805,0.06176780164241791,0.0,0.3423067331314087,0.12228265404701233,0.09621629118919373,0.2290564328432083,0.0,0.0
0.0,0.0,0.0,0.0,0.05065928027033806,0.13168227672576904,0.16919179260730743,0.0,0.17012740671634674,0.0,0.03468652814626694,0.4411350190639496,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.35995182394981384,0.0,0.0,0.5057471990585327,0.0,0.014969016425311565,0.10697091370820999,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5527017712593079,0.11917325854301453,0.0,0.12230324000120163,0.0,0.19149261713027954,0.013960547745227814,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.2685260474681854,0.03223524987697601,0.0,0.5120857954025269,0.0,0.0,0.0668783038854599,0.11850404739379883,0.0
0.0,0.0,0.0,0.0,0.14526599645614624,0.011498406529426575,0.7182870507240295,0.0,0.08569680899381638,0.0,0.0,0.03178849816322327,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.09093526750802994,0.10241244733333588,0.2808191478252411,0.11980996280908585,0.0,0.03251086175441742,0.3677235245704651,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.3379109799861908,0.01572897471487522,0.0,0.19096803665161133,0.0,0.017447225749492645,0.43631595373153687,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.16065847873687744,0.3447314202785492,0.0,0.10299818962812424,0.16603389382362366,0.02994811162352562,0.1944485455751419,0.0,0.0
0.2118365466594696,0.0,0.0,0.0,0.0,0.011171058751642704,0.07744761556386948,0.0,0.015479962341487408,0.321623295545578,0.14390112459659576,0.20912562310695648,0.0,0.0
0.0,0.0,0.0,0.0,0.26911941170692444,0.5869701504707336,0.05964907631278038,0.0,0.0264662504196167,0.0,0.0,0.046618908643722534,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.12139184772968292,0.38840368390083313,0.0,0.013863463886082172,0.0,0.23762111365795135,0.23768754303455353,0.0,0.0
0.1502193957567215,0.0,0.0,0.0,0.0,0.22968310117721558,0.05067874863743782,0.0,0.19739341735839844,0.14817769825458527,0.20117773115634918,0.022211013361811638,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.4247601628303528,0.12430551648139954,0.0,0.07096582651138306,0.0,0.04162653908133507,0.3349195718765259,0.0,0.0
0.022252222523093224,0.0,0.0,0.0,0.0,0.25830256938934326,0.024858150631189346,0.0,0.09043658524751663,0.14149798452854156,0.3071478009223938,0.15140873193740845,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.6639757752418518,0.0,0.0,0.24166597425937653,0.0,0.010425456799566746,0.0,0.07013877481222153,0.0
0.0,0.0,0.0,0.0,0.0,0.012169311754405499,0.1671561449766159,0.0,0.2087392508983612,0.0,0.2600160241127014,0.070066899061203,0.0,0.27954500913619995
0.0,0.0,0.0,0.0,0.0,0.16011939942836761,0.33749356865882874,0.0,0.15891097486019135,0.1287653148174286,0.05818157643079758,0.15472380816936493,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1634477823972702,0.3505372405052185,0.0,0.28970763087272644,0.0,0.017636585980653763,0.03036169894039631,0.02531968243420124,0.12272752821445465
0.0,0.0707562267780304,0.0,0.0,0.0,0.16795982420444489,0.02264210395514965,0.0,0.38810089230537415,0.10066207498311996,0.0,0.24030831456184387,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.08061951398849487,0.04719220846891403,0.0,0.8240622878074646,0.0,0.0,0.0,0.04100928083062172,0.0
0.0,0.0,0.0,0.0,0.0,0.5347232818603516,0.0,0.0,0.40810152888298035,0.0,0.03280790522694588,0.013000230304896832,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.33013176918029785,0.0,0.0,0.22487196326255798,0.0,0.012354066595435143,0.4291878640651703,0.0,0.0
